Geographic code,Geographic name,CD type,Province or territory,"Incompletely enumerated Indian reserves and Indian settlements, 2016","Population, 2016","Population, 2011",2011 adjusted population flag,"Population, % change","Total private dwellings, 2016","Private dwellings occupied by usual residents, 2016","Land area in square kilometres, 2016","Population density per square kilometre, 2016","National population rank, 2016","Provincial/territorial population rank, 2016"
2484,Pontiac,Municipalit� r�gionale de comt� (MRC),Quebec,F,14251,14358,F,-0.7,10208,6203,12991.82,1.1,255,90
4608,Division No.  8,Census division (CDR),Manitoba,F,13968,13444,T,3.9,5008,4638,5751.75,2.4,256,16
1201,Shelburne,County (CTY),Nova Scotia,F,13966,14496,F,-3.7,7765,6378,2467.39,5.7,257,14
3551,Manitoulin,District (DIS),Ontario,F,13255,13048,F,1.6,9537,5748,3107.23,4.3,258,49
4605,Division No.  5,Census division (CDR),Manitoba,F,13176,12922,F,2,6945,5442,8229.91,1.6,259,17
2416,Charlevoix,Municipalit� r�gionale de comt� (MRC),Quebec,F,12997,13338,F,-2.6,7330,5781,3763.22,3.5,260,91
4703,Division No.  3,Census division (CDR),Saskatchewan,F,12610,12691,F,-0.6,6173,5358,18553.99,0.7,261,17
2401,Les �les-de-la-Madeleine,Territoire �quivalent (T�),Quebec,F,12475,12781,F,-2.4,6477,5534,210.3,59.3,262,92
2435,M�kinac,Municipalit� r�gionale de comt� (MRC),Quebec,F,12358,12924,F,-4.4,8324,6013,5222.1,2.4,263,93
4610,Division No. 10,Census division (CDR),Manitoba,F,11941,10673,F,11.9,3786,3678,1916.28,6.2,264,18
2498,Minganie--Le Golfe-du-Saint-Laurent,Census division (CDR),Quebec,F,11323,11708,F,-3.3,5297,4462,99468.3,0.1,265,94
2404,La Haute-Gasp�sie,Municipalit� r�gionale de comt� (MRC),Quebec,F,11316,12088,F,-6.4,6282,5270,5066.06,2.2,266,95
5943,Mount Waddington,Regional district (RD),British Columbia,F,11035,11506,F,-4.1,5963,4850,20244.27,0.5,267,26
4704,Division No.  4,Census division (CDR),Saskatchewan,F,10854,10879,F,-0.2,5262,4181,21366.27,0.5,268,18
2495,La Haute-C�te-Nord,Municipalit� r�gionale de comt� (MRC),Quebec,F,10846,11546,F,-6.1,5708,4982,11612.68,0.9,269,96
1304,Queens,County (CT),New Brunswick,F,10472,11086,F,-5.5,7289,4877,3686.05,2.8,270,15
6205,Keewatin,Region (REG),Nunavut,F,10413,8955,F,16.3,3007,2631,444621.71,0,271,2
1204,Queens,County (CTY),Nova Scotia,F,10351,10960,F,-5.6,6608,4764,2398.51,4.3,272,15
4606,Division No.  6,Census division (CDR),Manitoba,F,10317,10025,F,2.9,4703,4102,3943.25,2.6,273,19
4604,Division No.  4,Census division (CDR),Manitoba,F,9986,9989,T,0,4206,3702,4481.09,2.2,274,20
4616,Division No. 16,Census division (CDR),Manitoba,F,9848,9928,F,-0.8,4986,4121,4717.05,2.1,275,21
4620,Division No. 20,Census division (CDR),Manitoba,F,9621,9952,F,-3.3,4919,4177,9869.16,1,276,22
4804,Division No.  4,Census division (CDR),Alberta,F,9573,10078,F,-5,4174,3739,21479.85,0.4,277,19
4623,Division No. 23,Census division (CDR),Manitoba,F,8971,8590,F,4.4,2967,2423,242367.35,0,278,23
1216,Richmond,County (CTY),Nova Scotia,F,8964,9293,F,-3.5,5122,3983,1249.33,7.2,279,16
2411,Les Basques,Municipalit� r�gionale de comt� (MRC),Quebec,F,8694,9142,F,-4.9,5185,4065,1121.82,7.7,280,97
1213,Guysborough,County (CTY),Nova Scotia,F,7625,8143,F,-6.4,5190,3549,4044.15,1.9,281,17
1218,Victoria,County (CTY),Nova Scotia,F,7089,7115,F,-0.4,4437,3101,2857.74,2.5,282,18
2420,L'�le-d'Orl�ans,Municipalit� r�gionale de comt� (MRC),Quebec,F,7082,6711,F,5.5,3703,3040,192.85,36.7,283,98
6105,Region 5,Region (REG),Northwest Territories,F,6980,6616,T,5.5,3199,2692,153468.37,0,284,2
6208,Kitikmeot,Region (REG),Nunavut,F,6543,6012,F,8.8,1870,1663,443277.47,0,285,3
6101,Region 1,Region (REG),Northwest Territories,F,6372,6712,F,-5.1,2741,2248,365094.4,0,286,3
5959,Northern Rockies,Regional district (RD),British Columbia,F,5393,5578,F,-3.3,2593,2182,85111.07,0.1,287,27
5945,Central Coast,Regional district (RD),British Columbia,F,3319,3206,F,3.5,1531,1284,24491.85,0.1,288,28
6104,Region 4,Region (REG),Northwest Territories,F,3160,3256,T,-2.9,1495,1138,194494.15,0,289,4
6103,Region 3,Region (REG),Northwest Territories,F,2751,2812,F,-2.2,861,705,25080.97,0.1,290,5
1011,Division No. 11,Census division (CDR),Newfoundland and Labrador,F,2558,2617,F,-2.3,945,834,69371.46,0,291,11
6102,Region 2,Region (REG),Northwest Territories,F,2433,2341,F,3.9,1111,858,220752.16,0,292,6
5957,Stikine,Region (REG),British Columbia,F,740,629,F,17.6,617,367,118663.53,0,293,29
,,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,,
"Incompletely enumerated Indian reserves and Indian settlements, 2016",T = excludes census data for one or more incompletely enumerated Indian reserves or Indian settlements.,,,,,,,,,,,,,
2011 adjusted population flag,T = adjusted figure due to boundary change.,,,,,,,,,,,,,
"For further information, refer to: http://www12.statcan.gc.ca/census-recensement/2016/dp-pd/hlt-fst/pd-pl/About.cfm.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Source: Statistics Canada, 2016 Census of Population.",,,,,,,,,,,,,,
"How to cite: Statistics Canada. 2017. Population and dwelling counts, for Canada, provinces and territories, and census divisions, 2016 and 2011 censuses (table). Population and Dwelling Count Highlight Tables. 2016 Census.",,,,,,,,,,,,,,
"Statistics Canada Catalogue no. 98-402-X2016001. Ottawa. Released February 8, 2017.",,,,,,,,,,,,,,
"http://www12.statcan.gc.ca/census-recensement/2016/dp-pd/hlt-fst/pd-pl/Tables/File.cfm?T=701&SR=1&RPP=9999&PR=0&CMA=0&CSD=0&S=3&O=D&Lang=Eng&OFT=CSV (accessed March 29, 2018)",,,,,,,,,,,,,,
